  df = pd.read_sql(query, connection)
Epoch 1/200 | Train Loss: 8.9902 | Test Loss: 8.7179
Epoch 2/200 | Train Loss: 8.7823 | Test Loss: 8.5151
Epoch 3/200 | Train Loss: 8.5789 | Test Loss: 8.3164
Epoch 4/200 | Train Loss: 8.3798 | Test Loss: 8.1215
Epoch 5/200 | Train Loss: 8.1846 | Test Loss: 7.9302
Epoch 6/200 | Train Loss: 7.9926 | Test Loss: 7.7417
Epoch 7/200 | Train Loss: 7.8035 | Test Loss: 7.5554
Epoch 8/200 | Train Loss: 7.6166 | Test Loss: 7.3708
Epoch 9/200 | Train Loss: 7.4313 | Test Loss: 7.1872
Epoch 10/200 | Train Loss: 7.2470 | Test Loss: 7.0043
Epoch 11/200 | Train Loss: 7.0631 | Test Loss: 6.8216
Epoch 12/200 | Train Loss: 6.8791 | Test Loss: 6.6384
Epoch 13/200 | Train Loss: 6.6946 | Test Loss: 6.4545
Epoch 14/200 | Train Loss: 6.5093 | Test Loss: 6.2697
Epoch 15/200 | Train Loss: 6.3229 | Test Loss: 6.0838
Epoch 16/200 | Train Loss: 6.1353 | Test Loss: 5.8965
Epoch 17/200 | Train Loss: 5.9462 | Test Loss: 5.7076
Epoch 18/200 | Train Loss: 5.7556 | Test Loss: 5.5171
Epoch 19/200 | Train Loss: 5.5634 | Test Loss: 5.3250
Epoch 20/200 | Train Loss: 5.3696 | Test Loss: 5.1314
Epoch 21/200 | Train Loss: 5.1742 | Test Loss: 4.9365
Epoch 22/200 | Train Loss: 4.9777 | Test Loss: 4.7404
Epoch 23/200 | Train Loss: 4.7801 | Test Loss: 4.5435
Epoch 24/200 | Train Loss: 4.5818 | Test Loss: 4.3461
Epoch 25/200 | Train Loss: 4.3831 | Test Loss: 4.1485
Epoch 26/200 | Train Loss: 4.1844 | Test Loss: 3.9515
Epoch 27/200 | Train Loss: 3.9860 | Test Loss: 3.7553
Epoch 28/200 | Train Loss: 3.7885 | Test Loss: 3.5605
Epoch 29/200 | Train Loss: 3.5925 | Test Loss: 3.3677
Epoch 30/200 | Train Loss: 3.3983 | Test Loss: 3.1773
Epoch 31/200 | Train Loss: 3.2067 | Test Loss: 2.9900
Epoch 32/200 | Train Loss: 3.0181 | Test Loss: 2.8064
Epoch 33/200 | Train Loss: 2.8332 | Test Loss: 2.6272
Epoch 34/200 | Train Loss: 2.6526 | Test Loss: 2.4528
Epoch 35/200 | Train Loss: 2.4768 | Test Loss: 2.2840
Epoch 36/200 | Train Loss: 2.3067 | Test Loss: 2.1214
Epoch 37/200 | Train Loss: 2.1426 | Test Loss: 1.9654
Epoch 38/200 | Train Loss: 1.9853 | Test Loss: 1.8168
Epoch 39/200 | Train Loss: 1.8352 | Test Loss: 1.6760
Epoch 40/200 | Train Loss: 1.6930 | Test Loss: 1.5435
Epoch 41/200 | Train Loss: 1.5590 | Test Loss: 1.4196
